[Effect Descriptions]|en|fi|pt|ru|zh|ja|ko|de
effect_off_1|Hellfire|Kiirastuli|Fogo do Inferno|Адское пламя|地狱火|ヘルファイア|지옥의 불|Höllenfeuer
effect_off_2|Coldsnap|Kylmän puraisu|Onda de Frio|Холодная хватка|寒潮|コールドスナップ|한파|Kälteeinbruch
effect_off_3|Hex|Manaus|Hex|Сглаз|妖法|呪い|헥스|Fluch
effect_off_4|Bash|Tälli|Esmagamento|Оглушение|狂怒击|強打|강타|Hieb
effect_off_5|Deadly Poison|Kuolettava myrkky|Veneno Mortal|Смертоносный яд|致命毒药|致命的な毒薬|맹독|Tödliches Gift
effect_off_6|Critical Strike|Kriittinen isku|Golpe Crítico|Критический удар|暴击|クリティカル・ストライク|치명타|Kritischer Treffer
effect_off_7|Lightning Fury|Sähköisku|Fúria do Raio|Неистовство молний|闪电之怒|雷光の怒り|번개의 분노|Zorn des Blitzes
effect_off_8|Windfury|Myrskytuuli|Fúria do Vento|Неистовство ветра|风怒|強風の怒り|바람의 분노|Sturmwind
effect_off_9|Poison Nova|Myrkkynova|Nova de Veneno|Волна яда|剧毒新星|ポイズン・ノヴァ|포이즌 노바|Gift Explosion
effect_off_10|Butcher's Fury|Teurastajan viha|Fúria do Açougueiro|Ярость мясника|屠夫之怒|ブッチャーの怒り|도살자의 분노|Wut des Metzgers
effect_off_11|Chilling Death|Hyytävä kuolema|Morte Congelante|Леденящая смерть|寒冷死亡|チリング・デス（寒冷の死）|오싹한 죽음|Eisiger Tod
effect_off_12|Doom Cannon|Tuhokanuuna|Canhão da Desgraça|Ядрёные ядра|末日加农炮|ドゥーム・キャノン|파멸포|Schicksalskanone
effect_off_13|Ninja Shiv|Ninjaveitsi|Lâmina Ninja|Техника ниндзя|忍者剃刀|忍者のカミソリ|닌자도|Ninja-Klinge
effect_off_14|Tomahawk|Tomahawk|Machadinha|Томагавк|战斧|トマホーク|토마호크|Tomahawk
effect_off_15|Ground Slam|Maanläimäys|Batida no Chão|Землетрясение|地面重击|グラウンド・スラム|그라운드 슬램|Bodenschmettern
effect_off_16|Death Coil|Sielukallo|Bobina da Morte|Череп душ|灵魂头骨|魂のドクロ|데스 코일|Seelenschädel
effect_off_17|Double Shot|Double Shot|Tiro Duplo|Double Shot|Double Shot|Double Shot|더블 샷|Double Shot
effect_off_18|Spectral Shots|Aaveammukset|Tiros Espectrais|Спектральные снаряды|光频扫射|スペクトル・ショット|스펙트럴 샷|Spektrale Schüsse
effect_off_19|Flamethrower|Liekinheitin|Lança-Chamas|Огнемет|火焰喷射器|火炎放射器|화염방사기|Flammenwerfer
effect_off_20|Multishot|Monilaukaus|Multitiros|Мультивыстрел|多重扫射|マルチショット|멀티 샷|Mehrfachschuss
effect_off_21|Piercing|Lävistävä|Perfurante|Пронзание|穿孔|貫通する|피어싱|Durchdringung
effect_off_22|Burst Shot|Räjähtävä laukaus|Tiros de Rajada|Взрывной выстрел|爆发式射击|バースト・ショット|버스트 샷|Berstender Schuss
effect_off_23|Gunshot|Laukaus|Tiro|Очередь|射击|射撃|건샷|Pistolenschuss
effect_off_24|Flight|Lento|Voar|Полет|飞行|飛行|비행|Flucht
effect_off_25|Immune to Freeze|Immuuni jäädytykselle|Imune a Congelamento|Иммунитет к Заморозке|免疫冻结|凍結無効|동결 면역|Immun gegen Frost
effect_off_26|Immune to Stun|Immuuni pyörrytykselle|Imune a Atordoamento|Иммунитет к Оглушению|免疫眩晕|スタン無効|기절 면역|Immun gegen Betäubung
effect_off_27|Immortality|Kuolemattomuus|Imortalidade|Бессмертие|永生|不死|불멸|Unsterblichkeit
effect_off_28|Immune to Traps|Immuuni ansoille|Imune a Armadilhas|Иммунитет к ловушкам|免疫陷阱|トラップ無効|함정 면역|Immun gegen Fallen
effect_off_29|Armor Break|Suojanmurtaja|Quebra de Armadura|Разрушение Брони|装甲打破|アーマーブレイク|아머 브레이크|Rüstungsbruch
effect_off_30|Restless Spirits|Levottomat sielut|Espíritos Inquietos|Неупокоенные Души|不眠之魂|リストレススピリッツ|불안한 영혼|Ruhelose Geister
