|en|fi|pt|ru|zh|ja|ko|de
[Item Stats]||||||||
stat_base_damage|Damage|||||||
stat_defense|Defense|||||||
stat_defense_p|Increased Defense|||||||
stat_block_chance|Block Chance|Torjumismahdollisuus|Chance de Bloqueio|Шанс Блока|格挡几率|ブロック・チャンス|블럭 확률|Block-Chance
||||||||
stat_all_skills|to All Skills|||||||
stat_increased_speed|Increased Movement Speed|||||||
stat_faster_cast_rate|Faster Cast Rate|||||||
stat_attack_speed_p|Increased Attack Speed|||||||
stat_cooldown_reduction|Cooldowns Reduced by |||||||
stat_to|to |||||||
||||||||
stat_skill_damage|Skill Damage increased by |||||||
stat_explosion_aoe|Explosion area of effect increased by |||||||
||||||||
stat_block_rating|Increased Chance of Blocking|||||||
stat_enhanced_damage|Enhanced Damage|||||||
stat_enhanced_defense|Enhanced Defense|||||||
stat_critical_rate|Increased Chance to Critical Strike|||||||
stat_deadly_blow|Chance for a Deadly Blow|||||||
stat_crushing_blow|Chance for a Crushing Blow|||||||
stat_attack_rating_p|Increased Attack Rating|||||||
stat_attack_rating|to Attack Rating|||||||
||||||||
stat_life_per_hit|Life stolen per Hit|||||||
stat_mana_per_hit|Mana stolen per Hit|||||||
stat_critical_damage|Increased Critical Strike Damage|||||||
stat_target_defense|of target Defense ignored|||||||
stat_open_wounds|Chance to Open Wounds|||||||
stat_piercing|Piercing Attack|||||||
stat_slow_target|Slows target by |||||||
stat_prevent_monster_heal|Prevent Monster Heal|||||||
||||||||
stat_strength|to Strength|||||||
stat_dexterity|to Dexterity|||||||
stat_energy|to Energy|||||||
stat_armor|to Armor|||||||
stat_vitality|to Vitality|||||||
stat_pointsLeft|Points Left|||||||
stat_all_stats|to All Attributes|||||||
||||||||
stat_physical_damage|to Attack Damage|||||||
stat_magic_damage|to Additive Magic Damage|||||||
stat_lightning_damage|to Additive Lightning Damage|||||||
stat_fire_damage|to Additive Fire Damage|||||||
stat_cold_damage|to Additive Cold Damage|||||||
stat_poison_damage|to Additive Poison Damage|||||||
||||||||
stat_fire_damage_p|Fire Skill Damage increased by |||||||
stat_cold_damage_p|Cold Skill Damage increased by |||||||
stat_magic_damage_p|Magic Skill Damage increased by |||||||
stat_poison_damage_p|Poison Skill Damage increased by |||||||
stat_lightning_damage_p|Lightning Skill Damage increased by |||||||
stat_physical_damage_p|Attack Damage increased by |||||||
||||||||
stat_cold_skills|to Cold Skills|||||||
stat_lightning_skills|to Lightning Skills|||||||
stat_fire_skills|to Fire Skills|||||||
stat_poison_skills|to Poison Skills|||||||
stat_magic_skills|to Magic Skills|||||||
stat_physical_skills|to Physical Skills|||||||
||||||||
stat_ignore_cold_resist|to Enemy Cold Resistance|||||||
stat_ignore_fire_resist|to Enemy Fire Resistance|||||||
stat_ignore_poison_resist|to Enemy Poison Resistance|||||||
stat_ignore_lightning_resist|to Enemy Lightning Resistance|||||||
stat_ignore_magic_resist|to Enemy Magic Resistance|||||||
||||||||
stat_jump_power|Increased Jumping Power|||||||
||||||||
stat_hp_rep|Replenish Life |||||||
stat_mana_rep|Replenish Mana |||||||
||||||||
stat_life|to Life|||||||
stat_mana|to Mana|||||||
||||||||
stat_faster_hit_recovery|Faster Hit Recovery|||||||
stat_defense_vs_missile|Defense vs Missiles|||||||
stat_hp_kill|Life After each Kill|||||||
stat_mana_kill|Mana After each Kill|||||||
stat_max_hp|Life Increased by |||||||
stat_max_mana|Mana Increased by |||||||
stat_light_radius|to Light Radius|||||||
stat_damage_return|of Damage Returned to the Attacker|||||||
stat_damage_taken_mana|of Damage Taken goes to Mana|||||||
stat_damage_reduction|Physical Damage Taken Reduced by |||||||
stat_magic_damage_reduction|Magic Damage Taken Reduced by |||||||
stat_damage_reduced|Damage Taken Reduced by |||||||
||||||||
stat_mana_per_level|to Mana (Based on Level)|||||||
stat_life_per_level|to Life (Based on Level)|||||||
stat_defense_per_level|Defense (Based on Level)|||||||
stat_magic_find_per_level|Magic Find (Based on Level)|||||||
stat_enhanced_defense_per_level|Enhanced Defense (Based on Level)|||||||
stat_enhanced_damage_per_level|Enhanced Damage (Based on Level)|||||||
stat_damage_per_level|to Damage (Based on Level)|||||||
stat_strength_per_level|to Strength (Based on Level)|||||||
stat_energy_per_level|to Energy (Based on Level)|||||||
