ac|en|fi|pt|ru|zh|ja|ko|de
[Normal Axes]||||||||
normal_melee_hand_axe|Hand Axe|||||||
normal_melee_hatchet|Hatchet|||||||
normal_melee_naga|Naga|||||||
normal_melee_broad_axe|Broad Axe|||||||
normal_melee_war_axe|War Axe|||||||
normal_melee_giant_axe|Giant Axe|||||||
||||||||
[Normal Maces]||||||||
normal_mace_cudgel|Cudgel|||||||
normal_mace_mace|Mace|||||||
normal_mace_morning_star|Morning Star|||||||
normal_mace_spiked_club|Spiked Club|||||||
normal_mace_war_hammer|War Hammer|||||||
normal_mace_maul|Maul|||||||
normal_mace_ogre_maul|Ogre Maul|||||||
normal_mace_martel_de_fer|Martel De Fer|||||||
normal_mace_flail|Flail|||||||
normal_mace_devil_star|Devil Star|||||||
||||||||
[Normal Daggers]||||||||
normal_dagger_dagger|Dagger|||||||
normal_dagger_dirge|Dirge|||||||
normal_dagger_kris|Kris|||||||
||||||||
[Normal Swords]||||||||
normal_sword_short_sword|Short Sword|||||||
normal_sword_sabre|Sabre|||||||
normal_sword_claymore|Claymore|||||||
normal_sword_broad_sword|Broad Sword|||||||
normal_sword_scimitar|Scimitar|||||||
normal_sword_giant_sword|Giant Sword|||||||
normal_sword_katana|Katana|||||||
normal_sword_war_sword|War Sword|||||||
normal_sword_falchion|Falchion|||||||
normal_sword_flamberge|Flamberge|||||||
normal_sword_zangetsu|Zangetsu|||||||
||||||||
[weapon_melee_unique]||||||||
w_melee_godfather|Godfather|Kummisetä|Padrinho|Крестный отец|教父|ゴッドファーザー|대부|Gevatter
w_melee_jade_warriors_gladius|Jade Warrior's Gladius|Jadesoturin miekka|Gládio do Guerreiro Jade|Меч Нефритового Воина|翡翠战士的短剑|翡翠戦士のグラディウス|전사 제이드의 글래디우스|Gladius des Jadekriegers
w_melee_storm_katana|Storm Katana|Myrskykatana|Katana Tempestade|Катана Бури|风暴武士刀|嵐のカタナ|스톰 카타나|Sturmkatana
w_melee_molten_sword|Molten Sword|Sula miekka|Espada Derretida|Расплавленный Меч|炽热剑|溶岩の剣|용해 된 검|Geschmolzenes Schwert
w_melee_hellslayer|Inferno Slayer|||||||
w_melee_dragon_knights_flail|Dragon Knight's Flail|Lohikäärmeritarin varsta|Mangual do Cavaleiro Dragão|Цеп Рыцаря-Дракона|龙骑士的连枷|ドラゴンナイトフレイル|드래곤 나이트의 도리깨|Drachenritterflegel
w_melee_rift_commanders_axe|Rift Commander's Axe|Repemäkomentajan Kirves|Machado do Comandante da Fenda|Топор Командира Разлома|裂谷指挥官的斧头|裂け目の司令官の斧|리프트 사령관의 도끼|Axt des Risskommandanten
w_melee_the_undying|The Undying|Kuolematon|O Imortal|Объятия Смерти|不死族|不死の者|죽지 않는 자|Das Unsterbliche
w_melee_shattered_dimensions|Shattered Dimensions|Pirstoutunut Ulottuvuus|Dimensões Estilhaçadas|Расколотый Мир|破碎空间|崩壊した次元|부서진 차원|Zerbrochene Dimensionen
w_melee_ashbringer|Ashbringer|Tuhkantuoja|Ashbringer|Вестник Пепла|灰烬使者|アッシュブリンガー|애쉬브링어|Aschebringer
w_melee_deaths_mirror|Death's Mirror|Kuoleman peili|Espelho da Morte|Зеркало Смерти|死亡之镜|死の鏡|죽음의 거울|Todesspiegel
w_melee_odins_battle_axe|Odin's Battle Axe|Odinin sotakirves|Machado de Batalha de Odin|Боевой топор Одина|奥丁的战斧|オーディンのバトル・アックス|오딘의 전투 도끼|Odins Streitaxt
