[npc]|en|fi|pt|ru|zh|ja|ko|de
black_market_npc_title|Shady Merchant|Hämärä kaupparatsu|Comerciante sombrio|Теневой торговец|阴暗商人|日陰の商人|그늘진 상인|Schattiger Kaufmann
traveling_merchant|Traveling Merchant|Traveling Merchant|Traveling Merchant|Traveling Merchant|Traveling Merchant|Traveling Merchant|Traveling Merchant|Traveling Merchant
broker_npc_title|Broker|Meklari|Corretor|Брокер|Broker|ブローカ|브로커|Makler
landlord_npc_title_1|Mayor of Inoya|Inoyan Pormestari|ciudad del alcalde|Мэр города Иноя|镇镇长|タウン市長|타운 시장|Stadt Bürgermeister
landlord_npc_title_2|Clan Leader|Klaanin Johtaja|Líder del clan|Лидер|氏族首领|クランリーダー|클랜 리더|Clan-Führer
landlord_npc_title_3|Village Elder|Kylänvanhin|Anciano del pueblo|Старейшина|村长|村の長老|마을 장로|Dorfälteste
landlord_npc_title_4|Dwarven Council|Kääpiöiden Valtuutettu|Consejo de los enanos|Краснолюд, Советник|矮人议会|ドワーフの協議会|드워프위원회|Zwergen-Rat
landlord_npc_title_5|Warlord|Sotapäällikkö|Jefe militar|Генерал|军阀|将軍|장군|Kriegsherren
landlord_npc_title_6|Arch Bishop|Arkkipiispa|Obispo arco|Архиепископ|拱主教|アークビショップ|아치 주교|Erzbischof
yogvan_npc_title|Dwarven Miner|Kääpiöiden Kaivosmies|Minero Enano|Краснолюд, шахтер|矮人矿工|ドワーフの鉱山労働者|드워프 광부|Zwergenbergmann
edward_npc_title|Hunter|Metsästäjä|Caçador|Охотник|猎人|猟師|사냥꾼|Jäger
kirill_npc_title|Princess|Prinsessa|Princesa|Принцесса|公主|王女|공주님|Prinzessin
mario_npc_title|Construction Worker|Rakennustyöläinen|Trabalhador da Construção|Строитель|建筑工人|建設作業員|건설 노동자|Bauarbeiter
bard_npc_name|Bard|Bardi|Bardo|Бард|诗人|詩人|음유 시인|Barde
christmas_letter_npc_name|Christmas Letter|Joulukirje|Letra do Natal|Рождественское письмо|圣诞信|クリスマスの手紙|크리스마스 편지|Weihnachtsbrief
snowman_npc_name|Snowman|Lumiukko|Boneco de neve|Снеговик|雪人|雪だるま|눈사람|Schneemann
snowman_headless_npc_name|Headless Snowman|Päätön Lumiukko|Boneco sem Cabeça|Снеговик без головы|无头雪人|ヘッドレス雪だるま|헤드리스 눈사람|Kopflos Schneemann
pumpkin_npc_name|Pumpkin|Kurpitsa|Abóbora|Тыква|南瓜|かぼちゃ|호박|Kürbis
skeleton_npc_name|Skeleton|Luuranko|Esqueleto|Скелет|骨架|スケルトン|해골|Skelett
witch_npc_name|Witch|Noita|Bruxa|Ведьма|巫婆|魔女|마녀|Hexe
jack_the_ripper_npc_name|Jack the Ripper|Viiltäjä-Jack|Jack o Estripador|Джек Потрошитель|开膛手杰克|切り裂きジャック|잭 더 리퍼|Jack the Ripper
corrupted_odin|Corrupted Odin|Korruptoitunut Odin|Odin corrompido|Оскверненный Один|腐败的奥丁|壊れたオーディン|타락한 오딘|Verdorbener Odin
bounty_board|Bounty Board|Ilmoitustaulu|Bounty Board|Bounty Board|Bounty Board|Bounty Board|Bounty Board|Bounty Board
bounty_board_hunt|Daily Hunt|Päivän jahti||||||
